ptp_trunk,condition,border_dist,new_pa_status,accuracy_type,new_pa_img_row_number_across_sessions,correct_mean,correct_sd,correct_n,ci_95,y_hat_i_c_ml
5c9a698...,schema_c,3_4,both,correct_exact,3,1,0,3,0,0.3765024251240373
5c9a698...,schema_c,3_4,both,correct_exact,4,0.3333333333333333,0.5773502691896257,3,0.6533333333333333,0.4598666960620672
5c9a698...,schema_c,3_4,both,correct_exact,5,0.6666666666666666,0.5773502691896257,3,0.6533333333333333,0.5320848103042802
5c9a698...,schema_c,3_4,both,correct_exact,6,1,0,3,0,0.5946470562882741
5c9a698...,schema_c,3_4,both,correct_exact,7,0.6666666666666666,0.5773502691896257,3,0.6533333333333333,0.648844464565018
5c9a698...,schema_c,3_4,both,correct_exact,8,0,0,3,0,0.6957954494236431
5c9a698...,schema_c,3_4,both,correct_one_square_away,1,0,0,3,0,0.00106398628186584
5c9a698...,schema_c,3_4,both,correct_one_square_away,2,0.3333333333333333,0.5773502691896257,3,0.6533333333333333,0.4327107170488516
5c9a698...,schema_c,3_4,both,correct_one_square_away,3,1,0,3,0,0.6778400957300615
5c9a698...,schema_c,3_4,both,correct_one_square_away,4,0.6666666666666666,0.5773502691896257,3,0.6533333333333333,0.8170474799395189
5c9a698...,schema_c,3_4,both,correct_one_square_away,5,0.6666666666666666,0.5773502691896257,3,0.6533333333333333,0.8961024505134109
5c9a698...,schema_c,3_4,both,correct_one_square_away,6,1,0,3,0,0.9409972555406743
5c9a698...,schema_c,3_4,both,correct_one_square_away,7,1,0,3,0,0.966492724121642
5c9a698...,schema_c,3_4,both,correct_one_square_away,8,1,0,3,0,0.9809714353615812
5c9a698...,schema_c,3_4,far_pa,mouse_error,1,154.49201347177302,NA,1,NA,152.921979618564
5c9a698...,schema_c,3_4,far_pa,mouse_error,2,141.17332335311264,NA,1,NA,128.7488662452261
5c9a698...,schema_c,3_4,far_pa,mouse_error,3,10.72530776073582,NA,1,NA,108.39691325457338
5c9a698...,schema_c,3_4,far_pa,mouse_error,4,220.76621056348841,NA,1,NA,91.26209143263182
5c9a698...,schema_c,3_4,far_pa,mouse_error,5,NA,NA,1,NA,76.8358533706369
5c9a698...,schema_c,3_4,far_pa,mouse_error,6,23.811126108659792,NA,1,NA,64.69004019650443
5c9a698...,schema_c,3_4,far_pa,mouse_error,7,58.292106897610935,NA,1,NA,54.46417417190547
